company,date,close_usd
SNDK,2026-05-18,1333.01
SNDK,2026-05-26,1589.55
SNDK,2026-06-02,1716.36
SNDK,2026-06-09,1646.54
SNDK,2026-06-16,1991.55
SNDK,2026-06-24,1914.46
SNDK,2026-07-01,2032.22
SNDK,2026-07-09,1858.27
SNDK,2026-07-16,1411.08
SNDK,2026-07-23,1610.33
SNDK,2026-07-30,1279.96
SNDK,2026-08-06,1258.58
SNDK,2026-08-13,1528.11
SNDK,2026-08-20,1600.62
SNDK,2026-08-27,1484.95
SNDK,2026-09-03,1554.99
SNDK,2026-09-11,1633.35
SNDK,2026-09-18,1791.82
SNDK,2026-09-23,1816.57
STX,2023-01-03,51.88
STX,2023-01-10,56.46
STX,2023-01-18,58.71
STX,2023-01-25,62.25
STX,2023-02-01,70.49
STX,2023-02-08,71.08
STX,2023-02-15,71.97
STX,2023-02-23,67.08
STX,2023-03-02,64.86
STX,2023-03-09,63.25
STX,2023-03-16,61.2
STX,2023-03-23,61.6
STX,2023-03-30,64.98
STX,2023-04-06,64.4
STX,2023-04-14,63.96
STX,2023-04-21,56.42
STX,2023-04-28,58.77
STX,2023-05-05,55.94
STX,2023-05-12,57.57
STX,2023-05-19,62.26
STX,2023-05-26,62.29
STX,2023-06-05,60.86
STX,2023-06-12,63.41
STX,2023-06-20,62.58
STX,2023-06-27,62.11
STX,2023-07-05,60.82
STX,2023-07-12,61.62
STX,2023-07-19,59.86
STX,2023-07-26,57.97
STX,2023-08-02,65.01
STX,2023-08-09,66.86
STX,2023-08-16,64.19
STX,2023-08-23,66.16
STX,2023-08-30,68.17
STX,2023-09-07,63.44
STX,2023-09-14,64.25
STX,2023-09-21,65.45
STX,2023-09-28,65.69
STX,2023-10-05,66.62
STX,2023-10-12,69.35
STX,2023-10-19,66.87
STX,2023-10-26,65.84
STX,2023-11-02,71.81
STX,2023-11-09,72
STX,2023-11-16,75.59
STX,2023-11-24,76.08
STX,2023-12-01,79.18
STX,2023-12-08,80.59
STX,2023-12-15,84.28
STX,2023-12-22,85.16
STX,2024-01-02,82.69
STX,2024-01-09,80.11
STX,2024-01-17,83.33
STX,2024-01-24,89.17
STX,2024-01-31,85.68
STX,2024-02-07,86.76
STX,2024-02-14,86.81
STX,2024-02-22,88.02
STX,2024-02-29,93.05
STX,2024-03-07,93.81
STX,2024-03-14,85.76
STX,2024-03-21,88.45
STX,2024-03-28,93.05
STX,2024-04-05,89.99
STX,2024-04-12,85.19
STX,2024-04-19,82.46
STX,2024-04-26,86.04
STX,2024-05-03,87.5
STX,2024-05-10,94.01
STX,2024-05-17,95.27
STX,2024-05-24,94.19
STX,2024-06-03,91.33
STX,2024-06-10,99.52
STX,2024-06-17,105.98
STX,2024-06-25,103.74
STX,2024-07-02,103.13
STX,2024-07-10,106.73
STX,2024-07-17,104.91
STX,2024-07-24,109.53
STX,2024-07-31,102.17
STX,2024-08-07,92.1
STX,2024-08-14,97.06
